trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
OLKF.FN_20251129233507_BH_EV,OLKF,2876,0,0,9.247660636901855e-05,,,,,False,,,
KMNF.FN_20251125064749_BH_EV,KMNF,1969,1,1957,0.4243197739124298,1957,0.4243197739124298,12,0.12,True,1957,12,0.12
RNF.FN_20250127191758_BH_EV,RNF,3713,0,0,7.230043411254883e-05,,,,,False,,,
OBF3.HE_20250711140011_HH_EV,OBF3,2885,0,0,0.0001539289951324463,,,,,False,,,
MEF.HE_20250514212407_HH_EV,MEF,4514,0,0,5.2988529205322266e-05,,,,,False,,,
RNF.FN_20251030053452_BH_EV,RNF,4356,0,0,7.781386375427246e-05,,,,,False,,,
VJF.HE_20250514214526_HH_EV,VJF,988,0,986,0.009966373443603516,,,,,False,,,
VJF.HE_20250909163038_HH_EV,VJF,2750,1,2774,0.3785809278488159,2774,0.3785809278488159,-24,0.24,True,2774,-24,0.24
AAL.UP_20251030093150_HH_EV,AAL,2318,1,2380,0.35460683703422546,2380,0.35460683703422546,-62,0.62,False,2380,-62,0.62
KU2.HE_20250713191920_SH_EV,KU2,4903,0,4925,0.0045913755893707275,,,,,False,,,
KLF.FN_20250126204906_BH_EV,KLF,4449,0,0,5.9664249420166016e-05,,,,,False,,,
FIA1.HE_20251110014535_HH_EV,FIA1,1765,0,0,7.972121238708496e-05,,,,,False,,,
FIA0.HE_20250924025404_HH_EV,FIA0,4190,0,0,8.761882781982422e-05,,,,,False,,,
HEF.HE_20250317083723_HH_EV,HEF,3352,0,3346,0.0008309483528137207,,,,,False,,,
FIA0.HE_20250607191526_HH_EV,FIA0,4351,0,0,7.346272468566895e-05,,,,,False,,,
FIA1.HE_20250425183841_HH_EV,FIA1,2300,0,0,6.076693534851074e-05,,,,,False,,,
OBF3.HE_20250905170814_HH_EV,OBF3,4348,0,4449,0.0017444193363189697,,,,,False,,,
HEF.HE_20251012115453_HH_EV,HEF,1684,0,0,6.726384162902832e-05,,,,,False,,,
RUF.HE_20250813103949_HH_EV,RUF,3090,0,3145,0.009321898221969604,,,,,False,,,
HEF.HE_20250101092127_HH_EV,HEF,4208,0,0,0.00010022521018981934,,,,,False,,,
KLF.FN_20251012115422_BH_EV,KLF,4012,0,0,9.033083915710449e-05,,,,,False,,,
KPF.HE_20251120230904_HH_EV,KPF,5500,0,0,4.786252975463867e-05,,,,,False,,,
KU2.HE_20250402133325_SH_EV,KU2,5365,0,0,4.2378902435302734e-05,,,,,False,,,
KAF.HE_20250727015842_HH_EV,KAF,4540,0,0,7.224082946777344e-05,,,,,False,,,
HEL5.HE_20250801001949_HH_EV,HEL5,4208,1,4250,0.23437604308128357,4250,0.23437604308128357,-42,0.42,True,4250,-42,0.42
RUF.HE_20250613143736_HH_EV,RUF,2620,1,2641,0.3894140124320984,2641,0.3894140124320984,-21,0.21,True,2641,-21,0.21
KU2.HE_20251117222830_CH_EV,KU2,5341,0,0,0.0003980100154876709,,,,,False,,,
KORF.HE_20250727015719_CH_EV,KORF,4095,1,4091,0.6162173748016357,4091,0.6162173748016357,4,0.04,True,4091,4,0.04
KY02.HE_20250906050204_CH_EV,KY02,5331,1,5323,0.26406848430633545,5323,0.26406848430633545,8,0.08,True,5323,8,0.08
FIA1.HE_20250613143804_HH_EV,FIA1,4078,0,4259,0.00011676549911499023,,,,,False,,,
FIA1.HE_20250703171922_HH_EV,FIA1,4413,0,0,9.703636169433594e-05,,,,,False,,,
KY02.HE_20250730081713_CH_EV,KY02,5296,0,0,0.0001208186149597168,,,,,False,,,
MSF.FN_20250125042803_BH_EV,MSF,5172,0,0,0.00012934207916259766,,,,,False,,,
OBF0.HE_20250228003111_HH_EV,OBF0,3707,0,3806,0.02516964077949524,,,,,False,,,
HEL5.HE_20250514214550_HH_EV,HEL5,2490,0,0,8.171796798706055e-05,,,,,False,,,
MEF.HE_20251222221608_HH_EV,MEF,3361,0,0,8.952617645263672e-05,,,,,False,,,
