trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
OLKF.FN_20251129233507_BH_EV,OLKF,2876,1,2865,0.30186164379119873,2865,0.30186164379119873,11,0.11,True,2865,11,0.11
KMNF.FN_20251125064749_BH_EV,KMNF,1969,2,1959,0.464378297328949,1959,0.464378297328949,10,0.1,True,1959,10,0.1
RNF.FN_20250127191758_BH_EV,RNF,3713,1,3797,0.14629048109054565,3797,0.14629048109054565,-84,0.84,False,,,
OBF3.HE_20250711140011_HH_EV,OBF3,2885,1,2869,0.27459102869033813,2869,0.27459102869033813,16,0.16,True,2869,16,0.16
MEF.HE_20250514212407_HH_EV,MEF,4514,1,4553,0.2591979503631592,4553,0.2591979503631592,-39,0.39,True,4553,,
RNF.FN_20251030053452_BH_EV,RNF,4356,1,4350,0.2210666537284851,4350,0.2210666537284851,6,0.06,True,,,
VJF.HE_20250514214526_HH_EV,VJF,988,1,985,0.47746971249580383,985,0.47746971249580383,3,0.03,True,985,3,0.03
VJF.HE_20250909163038_HH_EV,VJF,2750,1,2755,0.4818170368671417,2755,0.4818170368671417,-5,0.05,True,2755,-5,0.05
AAL.UP_20251030093150_HH_EV,AAL,2318,1,2367,0.4774211347103119,2367,0.4774211347103119,-49,0.49,True,2367,,
KU2.HE_20250713191920_SH_EV,KU2,4903,1,4899,0.46481621265411377,4899,0.46481621265411377,4,0.04,True,4899,4,0.04
KLF.FN_20250126204906_BH_EV,KLF,4449,1,4429,0.20147421956062317,4429,0.20147421956062317,20,0.2,True,4429,20,0.2
FIA1.HE_20251110014535_HH_EV,FIA1,1765,2,1773,0.2762325406074524,1773,0.2762325406074524,-8,0.08,True,1773,-8,0.08
FIA0.HE_20250924025404_HH_EV,FIA0,4190,1,4189,0.3204610347747803,4189,0.3204610347747803,1,0.01,True,4189,1,0.01
HEF.HE_20250317083723_HH_EV,HEF,3352,1,3347,0.4849034249782562,3347,0.4849034249782562,5,0.05,True,3347,5,0.05
FIA0.HE_20250607191526_HH_EV,FIA0,4351,1,4363,0.46852004528045654,4363,0.46852004528045654,-12,0.12,True,4363,-12,0.12
FIA1.HE_20250425183841_HH_EV,FIA1,2300,1,2372,0.3720425069332123,2372,0.3720425069332123,-72,0.72,False,2372,,
OBF3.HE_20250905170814_HH_EV,OBF3,4348,1,4398,0.21473246812820435,4398,0.21473246812820435,-50,0.5,True,4398,,
HEF.HE_20251012115453_HH_EV,HEF,1684,2,1249,0.21467679738998413,1249,0.21467679738998413,435,4.35,False,1249,,
RUF.HE_20250813103949_HH_EV,RUF,3090,1,3055,0.3446391820907593,3055,0.3446391820907593,35,0.35,True,3055,,
