trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
KUNI.HE_20250228104238_HH_EV,KUNI,4052,0,4073,0.0047242045402526855,,,,,False,,,
SUF.HE_20250207114015_HH_EV,SUF,2020,0,2071,0.04383447766304016,,,,,False,,,
MSF.FN_20250207114049_HH_EV,MSF,4218,0,0,0.00031191110610961914,,,,,False,,,
FIA0.HE_20250113121107_HH_EV,FIA0,4258,0,0,9.581446647644043e-05,,,,,False,,,
OBF0.HE_20250123123152_HH_EV,OBF0,5242,0,0,6.541609764099121e-05,,,,,False,,,
KU6.HE_20250216194911_HH_EV,KU6,2401,0,0,5.40614128112793e-05,,,,,False,,,
KEF.HE_20250110110134_HH_EV,KEF,4213,0,0,0.00012451410293579102,,,,,False,,,
OLKF.FN_20250203120856_HH_EV,OLKF,3354,0,0,5.161762237548828e-05,,,,,False,,,
VRF.HE_20250113201251_HH_EV,VRF,2856,0,0,6.321072578430176e-05,,,,,False,,,
RUF.HE_20250227123553_HH_EV,RUF,5479,0,0,6.046891212463379e-05,,,,,False,,,
FIA0.HE_20250221130318_HH_EV,FIA0,4364,0,0,7.542967796325684e-05,,,,,False,,,
KAF.HE_20250221130312_HH_EV,KAF,3290,0,0,7.82310962677002e-05,,,,,False,,,
VRF.HE_20250220190407_HH_EV,VRF,3715,0,0,9.059906005859375e-05,,,,,False,,,
KEF.HE_20250127105748_HH_EV,KEF,4519,0,0,8.273124694824219e-05,,,,,False,,,
KEF.HE_20250122115412_HH_EV,KEF,5151,0,0,4.89354133605957e-05,,,,,False,,,
MEF.HE_20250226124008_HH_EV,MEF,4789,0,4887,0.002978026866912842,,,,,False,,,
VAF.HE_20250116113758_HH_EV,VAF,4581,0,0,0.00011011958122253418,,,,,False,,,
NIF.HE_20250205131249_HH_EV,NIF,5437,0,0,0.00026485323905944824,,,,,False,,,
RUF.HE_20250126084916_HH_EV,RUF,4515,0,0,9.122490882873535e-05,,,,,False,,,
OBF8.HE_20250103114146_HH_EV,OBF8,5227,0,0,6.0111284255981445e-05,,,,,False,,,
VRF.HE_20250214200511_HH_EV,VRF,4352,0,0,0.00016584992408752441,,,,,False,,,
KEV.HE_20250113200558_HH_EV,KEV,5416,0,0,7.283687591552734e-05,,,,,False,,,
VJF.HE_20250220121352_HH_EV,VJF,4866,0,0,0.0009171664714813232,,,,,False,,,
TVF.HE_20250130113123_HH_EV,TVF,5345,0,0,6.276369094848633e-05,,,,,False,,,
HEF.HE_20250213122004_HH_EV,HEF,3282,0,3691,0.0051871538162231445,,,,,False,,,
VJF.HE_20250224114616_HH_EV,VJF,5121,0,5148,0.0019370317459106445,,,,,False,,,
MSF.FN_20250201201404_HH_EV,MSF,4821,0,0,0.00012630224227905273,,,,,False,,,
KU6.HE_20250214131809_HH_EV,KU6,3100,0,3049,0.06421375274658203,,,,,False,,,
RANF.FN_20250124104730_HH_EV,RANF,4366,0,0,5.790591239929199e-05,,,,,False,,,
MEF.HE_20250214123031_HH_EV,MEF,1291,0,0,4.312396049499512e-05,,,,,False,,,
KPF.HE_20250130093902_HH_EV,KPF,3749,0,0,7.510185241699219e-05,,,,,False,,,
RNF.FN_20250217121444_HH_EV,RNF,5128,0,0,6.541609764099121e-05,,,,,False,,,
RUF.HE_20250205125715_HH_EV,RUF,4367,0,4243,0.02673092484474182,,,,,False,,,
VAF.HE_20250113121215_HH_EV,VAF,3864,0,0,0.00023549795150756836,,,,,False,,,
LAUT.HE_20250224120016_HH_EV,LAUT,4908,1,4905,0.5586563348770142,4905,0.5586563348770142,3,0.03,True,4905,3,0.03
RUF.HE_20250228103904_HH_EV,RUF,3426,0,0,7.095932960510254e-05,,,,,False,,,
RANF.FN_20250215201753_HH_EV,RANF,5176,0,0,7.325410842895508e-05,,,,,False,,,
KPF.HE_20250205105330_HH_EV,KPF,4784,0,0,7.05718994140625e-05,,,,,False,,,
FIA0.HE_20250110102448_HH_EV,FIA0,2926,0,2940,0.0002187788486480713,,,,,False,,,
RAF.HE_20250226124343_HH_EV,RAF,3745,0,0,9.360909461975098e-05,,,,,False,,,
SUF.HE_20250219110240_HH_EV,SUF,5034,0,0,0.00011086463928222656,,,,,False,,,
