trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
KUNI.HE_20250228104238_HH_EV,KUNI,4052,1,4063,0.3858463764190674,4063,0.3858463764190674,-11,0.11,True,,,
SUF.HE_20250207114015_HH_EV,SUF,2020,1,1994,0.14132332801818848,1994,0.14132332801818848,26,0.26,True,,,
MSF.FN_20250207114049_HH_EV,MSF,4218,1,4281,0.16644182801246643,4281,0.16644182801246643,-63,0.63,False,,,
FIA0.HE_20250113121107_HH_EV,FIA0,4258,1,4483,0.3996785581111908,4483,0.3996785581111908,-225,2.25,False,4483,,
OBF0.HE_20250123123152_HH_EV,OBF0,5242,1,5207,0.17150744795799255,5207,0.17150744795799255,35,0.35,True,,,
KU6.HE_20250216194911_HH_EV,KU6,2401,1,2397,0.18520355224609375,2397,0.18520355224609375,4,0.04,True,,,
KEF.HE_20250110110134_HH_EV,KEF,4213,1,4211,0.28211599588394165,4211,0.28211599588394165,2,0.02,True,4211,2,0.02
OLKF.FN_20250203120856_HH_EV,OLKF,3354,1,3353,0.15414902567863464,3353,0.15414902567863464,1,0.01,True,,,
VRF.HE_20250113201251_HH_EV,VRF,2856,1,2845,0.273914098739624,2845,0.273914098739624,11,0.11,True,,,
RUF.HE_20250227123553_HH_EV,RUF,5479,1,5423,0.22173410654067993,5423,0.22173410654067993,56,0.56,False,,,
FIA0.HE_20250221130318_HH_EV,FIA0,4364,0,4403,0.09842643141746521,,,,,False,,,
KAF.HE_20250221130312_HH_EV,KAF,3290,1,3347,0.20653635263442993,3347,0.20653635263442993,-57,0.57,False,,,
VRF.HE_20250220190407_HH_EV,VRF,3715,0,3823,0.09410455822944641,,,,,False,,,
KEF.HE_20250127105748_HH_EV,KEF,4519,1,4464,0.17242926359176636,4464,0.17242926359176636,55,0.55,False,,,
KEF.HE_20250122115412_HH_EV,KEF,5151,1,5330,0.1508774757385254,5330,0.1508774757385254,-179,1.79,False,,,
MEF.HE_20250226124008_HH_EV,MEF,4789,1,4856,0.2839912176132202,4856,0.2839912176132202,-67,0.67,False,4856,,
VAF.HE_20250116113758_HH_EV,VAF,4581,1,4556,0.21934452652931213,4556,0.21934452652931213,25,0.25,True,4556,,
NIF.HE_20250205131249_HH_EV,NIF,5437,0,5999,0.05583259463310242,,,,,False,,,
RUF.HE_20250126084916_HH_EV,RUF,4515,1,4528,0.1961681842803955,4528,0.1961681842803955,-13,0.13,True,,,
OBF8.HE_20250103114146_HH_EV,OBF8,5227,1,5158,0.14639496803283691,5158,0.14639496803283691,69,0.69,False,,,
VRF.HE_20250214200511_HH_EV,VRF,4352,1,4334,0.2322070300579071,4334,0.2322070300579071,18,0.18,True,4334,,
KEV.HE_20250113200558_HH_EV,KEV,5416,1,4499,0.10941103100776672,4499,0.10941103100776672,917,9.17,False,,,
VJF.HE_20250220121352_HH_EV,VJF,4866,1,4960,0.1779363751411438,4960,0.1779363751411438,-94,0.94,False,,,
TVF.HE_20250130113123_HH_EV,TVF,5345,0,5999,0.09392616152763367,,,,,False,,,
HEF.HE_20250213122004_HH_EV,HEF,3282,1,3278,0.2195982038974762,3278,0.2195982038974762,4,0.04,True,,,
VJF.HE_20250224114616_HH_EV,VJF,5121,0,4855,0.07825347781181335,,,,,False,,,
MSF.FN_20250201201404_HH_EV,MSF,4821,1,4790,0.22053301334381104,4790,0.22053301334381104,31,0.31,True,,,
KU6.HE_20250214131809_HH_EV,KU6,3100,1,3121,0.2258196473121643,3121,0.2258196473121643,-21,0.21,True,3121,,
RANF.FN_20250124104730_HH_EV,RANF,4366,1,4464,0.2233045995235443,4464,0.2233045995235443,-98,0.98,False,4464,,
